Name,Pop,siteid,UNIT_NAME
Midewin National Tallgrass Prairie,43.43463832,NAT_134,Midewin National Tallgrass Prairie
National Forests in Alabama,24153.89777512988,NAT_133,National Forests in Alabama
Chattahoochee-Oconee National Forests,116056.56113086472,NAT_132,Chattahoochee-Oconee National Forests
National Forests in Florida,39161.91556027546,NAT_131,National Forests in Florida
Ottawa National Forest,5017.788377559916,NAT_130,Ottawa National Forest
Monongahela National Forest,23933.63770137801,NAT_129,Monongahela National Forest
Chippewa National Forest,15345.16642415023,NAT_128,Chippewa National Forest
Shawnee National Forest,26420.43276836706,NAT_127,Shawnee National Forest
Superior National Forest,18539.541525640296,NAT_126,Superior National Forest
Huron-Manistee National Forest,78963.79195986527,NAT_125,Huron-Manistee National Forest
Hoosier National Forest,22617.335717012156,NAT_124,Hoosier National Forest
Wayne National Forest,44226.58955868936,NAT_123,Wayne National Forest
Chequamegon-Nicolet National Forest,13789.060266052624,NAT_122,Chequamegon-Nicolet National Forest
National Forests in Texas,72709.99825980965,NAT_121,National Forests in Texas
Cherokee National Forest,86633.89031666802,NAT_120,Cherokee National Forest
George Washington and Jefferson National Forest,113565.90145336656,NAT_119,George Washington and Jefferson National Forest
Daniel Boone National Forest,108467.07102427124,NAT_118,Daniel Boone National Forest
Hiawatha National Forest,11432.16794446539,NAT_117,Hiawatha National Forest
Mark Twain National Forest,76660.68792899935,NAT_116,Mark Twain National Forest
Land Between the Lakes National Recreation Area,4.009178079685398,NAT_115,Land Between the Lakes National Recreation Area
Umpqua National Forest,339.69682658640096,NAT_114,Umpqua National Forest
National Forests in Mississippi,59090.99336904305,NAT_113,National Forests in Mississippi
National Forests in North Carolina,264140.79797025595,NAT_112,National Forests in North Carolina
Francis Marion and Sumter National Forests,47126.67522,NAT_111,Francis Marion and Sumter National Forests
Gifford Pinchot National Forest,537.8430586290453,NAT_110,Gifford Pinchot National Forest
Mt. Hood National Forest,377.5163189062911,NAT_109,Mt. Hood National Forest
Columbia River Gorge National Scenic Area,51002.08137589193,NAT_108,Columbia River Gorge National Scenic Area
Deschutes National Forest,19279.507942913035,NAT_107,Deschutes National Forest
Ochoco National Forest,6615.974775938401,NAT_106,Ochoco National Forest
Mt. Baker-Snoqualmie National Forest,1869.037746674152,NAT_105,Mt. Baker-Snoqualmie National Forest
Rogue River-Siskiyou National Forests,1744.5181193962826,NAT_104,Rogue River-Siskiyou National Forests
Umatilla National Forest,169.52604881565819,NAT_103,Umatilla National Forest
Okanogan-Wenatchee National Forest,6393.766862658689,NAT_102,Okanogan-Wenatchee National Forest
Colville National Forest,2889.2489576052394,NAT_101,Colville National Forest
Wallowa-Whitman National Forest,230.32546380305007,NAT_100,Wallowa-Whitman National Forest
Fremont-Winema National Forest,669.3811708506705,NAT_099,Fremont-Winema National Forest
Willamette National Forest,618.4952950679127,NAT_098,Willamette National Forest
Sierra National Forest,8066.815524361975,NAT_097,Sierra National Forest
Dixie National Forest,1831.1398069269385,NAT_096,Dixie National Forest
Manti-La Sal National Forest,265.2825486477645,NAT_095,Manti-La Sal National Forest
Uinta-Wasatch-Cache National Forest,26204.61797021407,NAT_094,Uinta-Wasatch-Cache National Forest
Boise National Forest,3835.088368030494,NAT_093,Boise National Forest
Fishlake National Forest,329.02910094353865,NAT_092,Fishlake National Forest
Ashley National Forest,316.98991197390455,NAT_091,Ashley National Forest
Salmon-Challis National Forest,628.5801776493729,NAT_090,Salmon-Challis National Forest
Bridger-Teton National Forest,3842.222871865261,NAT_089,Bridger-Teton National Forest
Siuslaw National Forest,2578.6796447994116,NAT_088,Siuslaw National Forest
Malheur National Forest,132.22265535113647,NAT_087,Malheur National Forest
Eldorado National Forest,2646.3142215817425,NAT_086,Eldorado National Forest
Inyo National Forest,9152.134701739888,NAT_085,Inyo National Forest
Sequoia National Forest,2451.3478150179867,NAT_084,Sequoia National Forest
Klamath National Forest,2460.694671734711,NAT_083,Klamath National Forest
Six Rivers National Forest,5007.342512550695,NAT_082,Six Rivers National Forest
Angeles National Forest,13194.292762069394,NAT_081,Angeles National Forest
Los Padres National Forest,10524.027350581438,NAT_080,Los Padres National Forest
San Bernardino National Forest,60097.920548819144,NAT_079,San Bernardino National Forest
Shasta-Trinity National Forest,9575.478643743529,NAT_078,Shasta-Trinity National Forest
Modoc National Forest,566.2162152181988,NAT_077,Modoc National Forest
Cleveland National Forest,24948.758589738653,NAT_076,Cleveland National Forest
Mendocino National Forest,796.9601347699919,NAT_075,Mendocino National Forest
Stanislaus National Forest,7620.580348309337,NAT_074,Stanislaus National Forest
Payette National Forest,374.2909968186898,NAT_073,Payette National Forest
Kootenai National Forest,5625.2993855767545,NAT_072,Kootenai National Forest
Lolo National Forest,3803.4708947039826,NAT_071,Lolo National Forest
Nez Perce-Clearwater National Forest,860.7988786121718,NAT_070,Nez Perce-Clearwater National Forest
Idaho Panhandle National Forests,7595.257468328728,NAT_069,Idaho Panhandle National Forests
Bitterroot National Forest,519.8535410034552,NAT_068,Bitterroot National Forest
Dakota Prairie Grasslands,444.1925290583754,NAT_067,Dakota Prairie Grasslands
Santa Fe National Forest,19230.81616126265,NAT_066,Santa Fe National Forest
Apache-Sitgreaves National Forests,34338.16857527885,NAT_065,Apache-Sitgreaves National Forests
Prescott National Forest,17623.05887,NAT_064,Prescott National Forest
Gila National Forest,3274.388760732882,NAT_063,Gila National Forest
Lincoln National Forest,17059.664137327403,NAT_062,Lincoln National Forest
Coronado National Forest,2558.3829008435987,NAT_061,Coronado National Forest
Cibola National Forest,9359.325706316304,NAT_060,Cibola National Forest
Carson National Forest,5096.714333254259,NAT_059,Carson National Forest
Pike and San Isabel National Forests,21708.06740641901,NAT_058,Pike and San Isabel National Forests
Bighorn National Forest,275.6302568081503,NAT_057,Bighorn National Forest
Black Hills National Forest,16136.88095591636,NAT_056,Black Hills National Forest
San Juan National Forest,11756.212643139666,NAT_055,San Juan National Forest
Nebraska National Forest,2135.814771022299,NAT_054,Nebraska National Forest
Shoshone National Forest,438.85454072838183,NAT_053,Shoshone National Forest
"Grand Mesa, Uncompahgre and Gunnison National Forests",9155.580578988587,NAT_052,"Grand Mesa, Uncompahgre and Gunnison National Forests"
White River National Forest,60485.01974038464,NAT_051,White River National Forest
Routt National Forest,943.8382017627474,NAT_046,Routt National Forest
Medicine Bow National Forest,2308.3745785056167,NAT_045,Medicine Bow National Forest
Lewis and Clark National Forest,495.2275753314979,NAT_044,Lewis and Clark National Forest
Humboldt-Toiyabe National Forest - Outside Spring Mountains NRA,228185.52963766968,NAT_043,Humboldt-Toiyabe National Forest - Outside Spring Mountains NRA
Humboldt-Toiyabe National Forest -  Spring Mountains NRA,665.8776694005511,NAT_042,Humboldt-Toiyabe National Forest -  Spring Mountains NRA
Helena National Forest,1395.5613168443463,NAT_041,Helena National Forest
Gallatin National Forest,6678.775053278305,NAT_040,Gallatin National Forest
Custer National Forest,414.95703947934356,NAT_039,Custer National Forest
Chugach National Forest,5050.692745,NAT_135,Chugach National Forest
"Tongass National Forest-Yakutat, Petersburg, and Wrangell",1126.0622322824897,NAT_050,"Tongass National Forest-Yakutat, Petersburg, and Wrangell"
Tongass National Forest-Sitka and Hoonah,1126.4903558623105,NAT_049,Tongass National Forest-Sitka and Hoonah
"Tongass National Forest-Ketchikan Misty, Craig, and Thorne Bay",2187.536053,NAT_048,"Tongass National Forest-Ketchikan Misty, Craig, and Thorne Bay"
Tongass National Forest-Juneau and Admiralty National Monument,1675.915233412612,NAT_047,Tongass National Forest-Juneau and Admiralty National Monument