siteid,ParkName,Class
NAT_016,Acadia NP,Non-Urban
NAT_037,Arches NP,Non-Urban
NAT_030,Assateague Island NS,Non-Urban
NAT_023,Boston NHP,Urban
NAT_028,Bryce Canyon NP,Non-Urban
NAT_036,Canaveral NS,Non-Urban
NAT_027,Cape Hatteras NS,Non-Urban
NAT_010,Castle Clinton NM,Urban
NAT_018,Chattahoochee River NRA,Urban
NAT_020,Colonial NHP,Non-Urban
NAT_032,Cuyahoga Valley NP,Non-Urban
NAT_019,Delaware Water Gap NRA,Non-Urban
NAT_021,Franklin Delano Roosevelt MEM,Urban
NAT_034,Gateway Arch NP,Urban
NAT_025,Glacier NP,Non-Urban
NAT_003,Grand Canyon NP,Non-Urban
NAT_017,Grand Teton NP,Non-Urban
NAT_001,Great Smoky Mountains NP,Non-Urban
NAT_007,Independence NHP,Urban
NAT_033,Indiana Dunes NP,Non-Urban
NAT_026,Joshua Tree NP,Non-Urban
NAT_014,Korean War Veterans Memorial,Urban
NAT_002,Lincoln Memorial,Urban
NAT_015,"Martin Luther King, Jr. Memorial",Urban
NAT_035,Mount Rushmore NMEM,Non-Urban
NAT_022,Olympic NP,Non-Urban
NAT_029,Rock Creek Park,Urban
NAT_005,Rocky Mountain NP,Non-Urban
NAT_013,San Francisco Maritime NHP,Non-Urban
NAT_038,Sleeping Bear Dunes NL,Non-Urban
NAT_011,Statue of Liberty NM,Urban
NAT_024,Thomas Jefferson MEM,Urban
NAT_031,Valley Forge NHP,Urban
NAT_006,Vietnam Veterans MEM,Urban
NAT_004,World War II Memorial,Urban
NAT_012,Yellowstone NP,Non-Urban
NAT_009,Yosemite NP,Non-Urban
NAT_008,Zion NP,Non-Urban