siteid,UNIT_NAME,Pop
NAT_001,Great Smoky Mountains National Park,449.2153067
NAT_002,Lincoln Memorial,0.42655286006629467
NAT_003,Grand Canyon National Park,1805.1707501259793
NAT_004,World War II Memorial,0
NAT_005,Rocky Mountain National Park,141.7426456789144
NAT_006,Vietnam Veterans Memorial,0.1423711348325014
NAT_007,Independence National Historical Park,353.7971935272217
NAT_008,Zion National Park,148.59105873929389
NAT_009,Yosemite National Park,762.6988281338497
NAT_010,Castle Clinton National Monument,0
NAT_011,Statue Of Liberty National Monument,0
NAT_012,Yellowstone National Park,428.2486698850771
NAT_013,San Francisco Maritime National Historical Park,22.179966347559457
NAT_014,Korean War Veterans Memorial,0
NAT_015,"Martin Luther King, Jr., Memorial",0
NAT_016,Acadia National Park,469.5221855436025
NAT_017,Grand Teton National Park,630.2456610241564
NAT_018,Chattahoochee River National Recreation Area,4094.1253002419617
NAT_019,Delaware Water Gap National Recreation Area,823.7750326615824
NAT_020,Colonial National Historical Park,592.6120457398029
NAT_021,Franklin Delano Roosevelt Memorial,0
NAT_022,Olympic National Park,185.04669853889345
NAT_023,Boston National Historical Park,329.8326498866081
NAT_024,Thomas Jefferson Memorial,0
NAT_025,Glacier National Park,88.03533108283801
NAT_026,Joshua Tree National Park,57.995804099933935
NAT_027,Cape Hatteras National Seashore,55.024754077350735
NAT_028,Bryce Canyon National Park,1.9905838524510955
NAT_029,Rock Creek Park,287.81067226524465
NAT_030,Assateague Island National Seashore,39.981557181613084
NAT_031,Valley Forge National Historical Park,608.9650332992592
NAT_032,Cuyahoga Valley National Park,2265.149142078706
NAT_033,Indiana Dunes National Park,449.5271438187592
NAT_034,Gateway Arch National Park,0
NAT_035,Mount Rushmore National Memorial,21.612884830481562
NAT_036,Canaveral National Seashore,3.6601723758503795
NAT_037,Arches National Park,6.604476990643661
NAT_038,Sleeping Bear Dunes National Lakeshore,197.46877986587828
NAT_039,Custer National Forest,414.95703947934356
NAT_040,Gallatin National Forest,6678.775053278305
NAT_041,Helena National Forest,1395.5613168443463
NAT_042,Humboldt-Toiyabe National Forest -  Spring Mountains NRA,665.8776694005511
NAT_043,Humboldt-Toiyabe National Forest - Outside Spring Mountains NRA,228185.52963766968
NAT_044,Lewis and Clark National Forest,495.2275753314979
NAT_045,Medicine Bow National Forest,2308.3745785056167
NAT_046,Routt National Forest,943.8382017627474
NAT_047,Tongass National Forest-Juneau and Admiralty National Monument,1675.915233412612
NAT_048,"Tongass National Forest-Ketchikan Misty, Craig, and Thorne Bay",2187.536053
NAT_049,Tongass National Forest-Sitka and Hoonah,1126.4903558623105
NAT_050,"Tongass National Forest-Yakutat, Petersburg, and Wrangell",1126.0622322824897
NAT_051,White River National Forest,60485.01974038464
NAT_052,"Grand Mesa, Uncompahgre and Gunnison National Forests",9155.580578988587
NAT_053,Shoshone National Forest,438.85454072838183
NAT_054,Nebraska National Forest,2135.814771022299
NAT_055,San Juan National Forest,11756.212643139666
NAT_056,Black Hills National Forest,16136.88095591636
NAT_057,Bighorn National Forest,275.6302568081503
NAT_058,Pike and San Isabel National Forests,21708.06740641901
NAT_059,Carson National Forest,5096.714333254259
NAT_060,Cibola National Forest,9359.325706316304
NAT_061,Coronado National Forest,2558.3829008435987
NAT_062,Lincoln National Forest,17059.664137327403
NAT_063,Gila National Forest,3274.388760732882
NAT_064,Prescott National Forest,17623.05887
NAT_065,Apache-Sitgreaves National Forests,34338.16857527885
NAT_066,Santa Fe National Forest,19230.81616126265
NAT_067,Dakota Prairie Grasslands,444.1925290583754
NAT_068,Bitterroot National Forest,519.8535410034552
NAT_069,Idaho Panhandle National Forests,7595.257468328728
NAT_070,Nez Perce-Clearwater National Forest,860.7988786121718
NAT_071,Lolo National Forest,3803.4708947039826
NAT_072,Kootenai National Forest,5625.2993855767545
NAT_073,Payette National Forest,374.2909968186898
NAT_074,Stanislaus National Forest,7620.580348309337
NAT_075,Mendocino National Forest,796.9601347699919
NAT_076,Cleveland National Forest,24948.758589738653
NAT_077,Modoc National Forest,566.2162152181988
NAT_078,Shasta-Trinity National Forest,9575.478643743529
NAT_079,San Bernardino National Forest,60097.920548819144
NAT_080,Los Padres National Forest,10524.027350581438
NAT_081,Angeles National Forest,13194.292762069394
NAT_082,Six Rivers National Forest,5007.342512550695
NAT_083,Klamath National Forest,2460.694671734711
NAT_084,Sequoia National Forest,2451.3478150179867
NAT_085,Inyo National Forest,9152.134701739888
NAT_086,Eldorado National Forest,2646.3142215817425
NAT_087,Malheur National Forest,132.22265535113647
NAT_088,Siuslaw National Forest,2578.6796447994116
NAT_089,Bridger-Teton National Forest,3842.222871865261
NAT_090,Salmon-Challis National Forest,628.5801776493729
NAT_091,Ashley National Forest,316.98991197390455
NAT_092,Fishlake National Forest,329.02910094353865
NAT_093,Boise National Forest,3835.088368030494
NAT_094,Uinta-Wasatch-Cache National Forest,26204.61797021407
NAT_095,Manti-La Sal National Forest,265.2825486477645
NAT_096,Dixie National Forest,1831.1398069269385
NAT_097,Sierra National Forest,8066.815524361975
NAT_098,Willamette National Forest,618.4952950679127
NAT_099,Fremont-Winema National Forest,669.3811708506705
NAT_100,Wallowa-Whitman National Forest,230.32546380305007
NAT_101,Colville National Forest,2889.2489576052394
NAT_102,Okanogan-Wenatchee National Forest,6393.766862658689
NAT_103,Umatilla National Forest,169.52604881565819
NAT_104,Rogue River-Siskiyou National Forests,1744.5181193962826
NAT_105,Mt. Baker-Snoqualmie National Forest,1869.037746674152
NAT_106,Ochoco National Forest,6615.974775938401
NAT_107,Deschutes National Forest,19279.507942913035
NAT_108,Columbia River Gorge National Scenic Area,51002.08137589193
NAT_109,Mt. Hood National Forest,377.5163189062911
NAT_110,Gifford Pinchot National Forest,537.8430586290453
NAT_111,Francis Marion and Sumter National Forests,47126.67522
NAT_112,National Forests in North Carolina,264140.79797025595
NAT_113,National Forests in Mississippi,59090.99336904305
NAT_114,Umpqua National Forest,339.69682658640096
NAT_115,Land Between the Lakes National Recreation Area,4.009178079685398
NAT_116,Mark Twain National Forest,76660.68792899935
NAT_117,Hiawatha National Forest,11432.16794446539
NAT_118,Daniel Boone National Forest,108467.07102427124
NAT_119,George Washington and Jefferson National Forest,113565.90145336656
NAT_120,Cherokee National Forest,86633.89031666802
NAT_121,National Forests in Texas,72709.99825980965
NAT_122,Chequamegon-Nicolet National Forest,13789.060266052624
NAT_123,Wayne National Forest,44226.58955868936
NAT_124,Hoosier National Forest,22617.335717012156
NAT_125,Huron-Manistee National Forest,78963.79195986527
NAT_126,Superior National Forest,18539.541525640296
NAT_127,Shawnee National Forest,26420.43276836706
NAT_128,Chippewa National Forest,15345.16642415023
NAT_129,Monongahela National Forest,23933.63770137801
NAT_130,Ottawa National Forest,5017.788377559916
NAT_131,National Forests in Florida,39161.91556027546
NAT_132,Chattahoochee-Oconee National Forests,116056.56113086472
NAT_133,National Forests in Alabama,24153.89777512988
NAT_134,Midewin National Tallgrass Prairie,43.43463832
NAT_135,Chugach National Forest,5050.692745
NAT_136,Parker River National Wildlife Refuge,0.001217736
NAT_137,Baskett Slough National Wildlife Refuge,0
NAT_138,Rocky Mountain Arsenal National Wildlife Refuge,2.1375350952148438
NAT_139,Pinckney Island National Wildlife Refuge,0
NAT_140,Ridgefield National Wildlife Refuge,0.8087341614009347
NAT_141,Arthur R. Marshall Loxahatchee National Wildlife Refuge,22.00008937
NAT_142,San Diego National Wildlife Refuge,435.02167934720046
NAT_143,Okefenokee National Wildlife Refuge,26.816367127915782
NAT_144,Harris Neck National Wildlife Refuge,0.9181141795124859
NAT_145,Tijuana Slough National Wildlife Refuge,8.217149194329977
NAT_146,Wolf Creek National Fish Hatchery,0.5800806515253498